name,printings,rarity
Nightmare,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, ANB, CED, CEI, FBB, LEA, LEB, M10, M14, M15, ORI, PLST, SUM, W16, W17",rare
Phyrexian Rager,"10E, APC, C15, CLB, CMA, CMR, DDD, DMR, DMU, EMA, GVL, IMA, JMP, MBS, MOC, PLST, PMEI, PWCS",common
Recover,"10E, INV, MM3, PLST, RIX",common
Scathe Zombies,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, ANB, CED, CEI, FBB, ITP, LEA, LEB, RQS, S99, SUM",common
Sengir Vampire,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 9ED, ANB, BRB, BTD, CED, CEI, DDK, DPA, FBB, JMP, LEA, LEB, M12, M14, M15, MB2, ME4, ORI, P30H, PLST, PS11, PTC, SUM, TOR, W16, W17",rare
Underworld Dreams,"10E, 8ED, 9ED, DPA, LEG, M10, P2HG, PRM, PS11, SLD, THB",rare
Demolish,"10E, 8ED, 9ED, AVR, KLD, M11, M14, ODY, ORI, PLST, RVR, THS, WAR, WC03, XLN, ZEN",common
Lava Axe,"10E, 7ED, 8ED, 9ED, BTD, DCI, M10, M11, M12, M14, M15, M19, P02, POR, PRM, PS11, S00, S99, ULG",common
Pyroclasm,"10E, 7ED, 8ED, 9ED, A25, DDK, DDL, DKM, DSK, ICE, M10, M11, MM3, OLEP, P06, PLST, POR, PRM, PSAL, WC01, WC03, WC04",uncommon
Raging Goblin,"10E, 6ED, 7ED, 8ED, 9ED, ANB, ATH, BRB, BTD, DD1, EVG, EXO, M10, OANA, P02, POR, PSAL, S99",common
Shatterstorm,"10E, 3ED, 5ED, 6ED, AKR, ATQ, FBB, MP2, OLEP, PLST, SUM",uncommon
Shivan Dragon,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 7ED, 8ED, 9ED, BTD, CED, CEI, DMR, DPA, DRB, FBB, FDN, GN3, J21, LEA, LEB, M10, M14, M15, M19, M20, ME4, O90P, ORI, P30H, P30T, P9ED, PMEI, PRM, PS11, SLC, SLD, SUM, W16, W17",rare
Shock,"10E, 6ED, 7ED, 8ED, 9ED, AER, ANB, BBD, BTD, DDN, DPA, FNM, J25, M12, M14, M19, M20, M21, MKM, ONS, PLST, PMEI, PRM, PS11, PSAL, STA, STH, WC98, WC99",common
Siege-Gang Commander,"10E, BLC, DD1, DMR, DOM, EMA, EVG, GNT, LTC, M10, ONC, PDOM, SCG, TDC, WC03",rare
Aggressive Urge,"10E, INV, JMP, PLST, RIX",common
Blanchwood Armor,"10E, 7ED, 8ED, 9ED, BRO, DPA, FDN, M19, PLST, PS11, USG",uncommon
Canopy Spider,"10E, 7ED, 8ED, ATH, BBD, M20, PLST, TMP, TPR",common
Commune with Nature,"10E, CHK, MM2, PLST, WOE",common
Creeping Mold,"10E, 6ED, 7ED, 8ED, 9ED, KLD, KLR, MRD, PAL01, PLST, PRM, VIS, WC00",uncommon
Giant Growth,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, A25, ATH, BBD, BLB, BRB, BRO, BTD, CED, CEI, DD1, DDD, DKM, DPA, E02, EVG, FBB, FDN, FNM, GVL, ICE, J21, J25, LEA, LEB, M10, M11, M14, ME2, ME3, ME4, P06, PJJT, PLST, PRM, PS11, PSUS, RTR, SLD, SUM, WAR, WC97, WC99",common
Giant Spider,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, AKH, ATH, CED, CEI, DMR, DPA, FBB, GS1, LEA, LEB, M10, M11, M12, M14, M19, PLST, POR, PS11, PZ2, SUM",common
Llanowar Elves,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 9ED, ATH, BRB, BTD, C14, CED, CEI, CMA, DCI, DD1, DOM, EMA, EVG, FBB, FDN, FNM, GN3, GNT, J25, LEA, LEB, M10, M11, M12, M19, P30H, PANA, PDMU, PDOM, PLST, PRM, PTC, SLD, SUM, WC00, WC01, WC02, WC99",common
Naturalize,"10E, 8ED, 9ED, ALA, DDU, DPA, DTK, GTC, HBG, ISD, KTK, M10, M11, M12, M13, M14, M15, M19, ONS, PLST, PS11, PSAL, RIX, ROE",common
Overrun,"10E, ATH, C14, C15, CMA, CN2, DDD, DPA, FDN, GN3, GVL, M10, M12, ODY, PC2, PCA, PLST, PS11, SCD, TMP, TPR, WC99",uncommon
Quirion Dryad,"10E, M13, M21, PLS, PLST",rare
Recollect,"10E, M19, P07, PRM, RAV, TD0",uncommon
Verdant Force,"10E, 9ED, C15, CMA, DOM, DPA, HOP, PD3, PDOM, PLST, PS11, SCD, TMP, TPR, WC98",rare
Crucible of Worlds,"10E, 2X2, 5DN, J13, M19, MPS, PIP, PM19, PRM, PWOR",rare
Icy Manipulator,"10E, 2ED, 30A, 9ED, CED, CEI, DDH, DKM, DMR, DOM, F05, ICE, LEA, LEB, ME4, MRD, OLEP, PLST, PRM, PTC",uncommon
Juggernaut,"10E, 2ED, 30A, 3ED, ARC, BBD, CED, CEI, DDF, DMR, DOM, DST, EMA, F05, FBB, FDN, J22, JMP, LEA, LEB, M11, M15, ME4, PLST, PRM, SUM",uncommon
Millstone,"10E, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, ATQ, BRR, FBB, M14, M19, PLST, PTC, SUM",rare
Ornithopter,"10E, 3ED, 4BB, 4ED, 5ED, 6ED, 9ED, AER, ATQ, BRR, DMR, FBB, HA1, KLR, M10, M11, M15, MPS, MRD, PLST, PS11, SLD, SUM, WC04",uncommon
Pithing Needle,"10E, 2X2, DBL, M10, MID, MPS, PMID, PRM, RTR, RVR, SLD, SOK",rare
Sculpting Steel,"10E, 2XM, 40K, BRR, C21, KLR, MOC, MPS, MRD, SLD",rare
Adarkar Wastes,"10E, 5ED, 6ED, 7ED, 9ED, BLC, DMU, DRC, DSC, ICE, M3C, OLEP, PDMU, PLST, PRM, PTC, TDC, WC00",rare
Battlefield Forge,"10E, 9ED, APC, BLC, BRO, C20, C21, DMC, LTC, M15, M3C, ORI, OTC, PBRO, PRM, SLD, TDC",rare
Brushland,"10E, 5ED, 6ED, 7ED, 9ED, ATH, BLC, BRO, ICE, LTC, M3C, OLEP, PBRO, PLST, PRM, PTC, WC00, WC02",rare
Caves of Koilos,"10E, 9ED, APC, C16, C20, C21, DMU, DRC, DSC, M15, M3C, MD1, ORI, OTC, PDMU, PRM, TDC",rare
Karplusan Forest,"10E, 5ED, 6ED, 7ED, 9ED, BLC, C16, DKM, DMU, DRC, ICE, M3C, OLEP, PDMU, PLST, PRM, PTC, TDC, WC00, WC01, WC02, WC98",rare
Llanowar Wastes,"10E, 9ED, APC, BLC, BRO, C19, C20, C21, DSC, M15, M3C, ORI, OTC, PBRO, PLST, PRM, TDC, WC01",rare
Shivan Reef,"10E, 9ED, APC, BLC, C20, C21, DDU, DMU, DRC, M15, M3C, ORI, OTC, PDMU, PLST, PRM, TDC, WC01, WC02",rare
Sulfurous Springs,"10E, 5ED, 6ED, 7ED, 9ED, DKM, DMU, DSC, ICE, LTC, M3C, OTC, PDMU, PRM, PTC, WC01, WC97",rare
Terramorphic Expanse,"10E, 40K, AFC, ARC, BLC, BRC, C13, C14, C15, C16, C17, C18, C19, CM2, CMA, CMD, CMM, CMR, DDE, DDH, DDN, DMC, DRC, DSK, H09, HOP, J25, JMP, LCC, LTC, M10, M11, M3C, MMA, MOC, ONE, OTC, PC2, PCA, PIP, PLST, PRM, PS11, PSAL, SLD, TD0, TD2, TDC, TSP, TSR, UMA, WHO, ZNC",common
Underground River,"10E, 5ED, 6ED, 7ED, 9ED, BRO, C16, CM2, DKM, DRC, DSC, ICE, LTC, M3C, OTC, PBRO, PRM, WC01, WC02, WC97, WC98",rare
Yavimaya Coast,"10E, 9ED, APC, BLC, C19, C20, C21, DMU, DRC, DSC, M15, M3C, ORI, OTC, PDMU, PLST, PRM, TDC, WC02",rare
Plains,"10E, 2ED, 2XM, 30A, 3ED, 40K, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, ACR, AFR, AKH, AKR, ALA, ANA, ANB, ARC, ATH, AVR, BBD, BFZ, BLB, BRB, BRC, BRO, C13, C14, C15, C16, C17, C18, C19, CED, CEI, CHK, CLB, CLU, CM2, CMA, CMD, CMM, CMR, CST, DDC, DDE, DDF, DDG, DDH, DDI, DDK, DDL, DDN, DDO, DDP, DDQ, DFT, DMR, DMU, DOM, DSK, DTK, DVD, E01, ELD, FBB, FDN, FRF, G17, GK1, GK2, GN2, GN3, GNT, GRN, GS1, H09, HBG, HOP, HOU, ICE, IKO, INR, INV, ISD, ITP, J14, J22, J25, JMP, KHM, KLD, KLR, KTK, LCI, LEA, LEB, LRW, LTR, M10, M11, M12, M13, M14, M15, M19, M20, M21, MBS, MD1, ME1, ME3, MH2, MH3, MID, MIR, MKM, MMQ, MOM, MRD, NEO, NPH, ODY, OLEP, ONE, ONS, ORI, OTJ, P02, P23, PAL00, PAL01, PAL03, PAL04, PAL05, PAL06, PAL99, PALP, PANA, PARL, PC2, PCA, PDGM, PELP, PF19, PF20, PGPX, PGRU, PIP, PLST, PMPS, PMPS06, PMPS07, PMPS08, PMPS09, PMPS10, PMPS11, POR, PPP1, PRM, PRW2, PRWK, PS11, PSAL, PSS2, PSS3, PSS4, PTC, PTK, PZ2, RAV, REX, RIX, RNA, ROE, RQS, RTR, S99, SCD, SHM, SIR, SLD, SLP, SNC, SOI, SOM, STX, SUM, TD0, TD2, TDM, THB, THS, TMP, TPR, TSP, UGL, UND, UNF, UNH, USG, UST, VOW, WAR, WC00, WC02, WC03, WC04, WC97, WC98, WHO, WOE, XANA, XLN, ZEN, ZNR",common
Island,"10E, 2ED, 2XM, 30A, 3ED, 40K, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, ACR, AFR, AKH, AKR, ALA, ANA, ANB, ARC, AVR, BBD, BFZ, BLB, BRB, BRC, BRO, BTD, C13, C14, C15, C16, C17, C18, C19, CED, CEI, CHK, CLB, CLU, CM2, CMA, CMD, CMM, CMR, CST, DD2, DDE, DDF, DDH, DDI, DDJ, DDM, DDN, DDO, DDQ, DDS, DDT, DDU, DFT, DMR, DMU, DOM, DPA, DSK, DTK, E01, ELD, FBB, FDN, FRF, G17, GK1, GK2, GN2, GN3, GNT, GRN, GS1, H09, HBG, HOP, HOU, ICE, IKO, INR, INV, ISD, ITP, J14, J22, J25, JMP, JVC, KHM, KLD, KLR, KTK, LCI, LEA, LEB, LRW, LTR, M10, M11, M12, M13, M14, M15, M19, M20, M21, MBS, ME1, ME3, MH2, MH3, MID, MIR, MKM, MMQ, MOM, MRD, NEO, NPH, ODY, OLEP, ONE, ONS, ORI, OTJ, P02, P23, PAL00, PAL01, PAL02, PAL03, PAL04, PAL05, PAL06, PAL99, PALP, PANA, PARL, PC2, PCA, PELP, PF19, PF20, PGPX, PGRU, PIP, PLST, PMPS, PMPS06, PMPS07, PMPS08, PMPS09, PMPS10, PMPS11, POR, PPP1, PRM, PRW2, PRWK, PS11, PSAL, PSS2, PSS3, PSS4, PTC, PTK, PZ2, RAV, REX, RIX, RNA, ROE, RQS, RTR, S99, SCD, SHM, SIR, SLD, SLP, SNC, SOI, SOM, STX, SUM, TD0, TD2, TDM, THB, THS, TMP, TPR, TSP, UGL, UND, UNF, UNH, USG, UST, VOW, WAR, WC00, WC01, WC02, WC03, WC04, WC97, WC98, WHO, WOE, XANA, XLN, ZEN, ZNR",common
Swamp,"10E, 2ED, 2XM, 30A, 3ED, 40K, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, ACR, AFR, AKH, AKR, ALA, ANA, ANB, ARC, ATH, AVR, BBD, BFZ, BLB, BRB, BRC, BRO, BTD, C13, C14, C15, C16, C17, C18, C19, CED, CEI, CHK, CLB, CLU, CM2, CMA, CMD, CMM, CST, DDC, DDD, DDE, DDH, DDJ, DDK, DDM, DDN, DDP, DDQ, DDR, DFT, DKM, DMR, DMU, DOM, DPA, DSK, DTK, DVD, E01, ELD, FBB, FDN, FRF, G17, GK1, GK2, GN2, GN3, GNT, GRN, GVL, H09, HBG, HOP, HOU, ICE, IKO, INR, INV, ISD, ITP, J14, J22, J25, JMP, KHM, KLD, KLR, KTK, LCI, LEA, LEB, LRW, LTR, M10, M11, M12, M13, M14, M15, M19, M20, M21, MBS, MD1, ME1, ME3, MH2, MH3, MID, MIR, MKM, MMQ, MOM, MRD, NEO, NPH, ODY, OLEP, ONE, ONS, ORI, OTJ, P02, P23, PAL00, PAL01, PAL03, PAL04, PAL05, PAL06, PAL99, PALP, PANA, PARL, PC2, PCA, PD3, PELP, PF19, PF20, PGPX, PGRU, PHUK, PIP, PLST, PMPS, PMPS06, PMPS07, PMPS08, PMPS09, PMPS10, PMPS11, POR, PPP1, PRM, PRW2, PRWK, PS11, PSAL, PSS2, PSS3, PSS4, PTC, PTK, RAV, REX, RIX, RNA, ROE, RQS, RTR, S99, SCD, SHM, SIR, SLD, SNC, SOI, SOM, STX, SUM, TD0, TD2, TDM, THB, THS, TMP, TPR, TSP, UGL, UND, UNF, UNH, USG, UST, VOW, WAR, WC01, WC02, WC03, WC97, WC98, WC99, WHO, WOE, XANA, XLN, ZEN, ZNR",common
Mountain,"10E, 2ED, 2XM, 30A, 3ED, 40K, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, ACR, AFR, AKH, AKR, ALA, ANA, ANB, ARC, ARN, ATH, AVR, BBD, BFZ, BLB, BRB, BRC, BRO, BTD, C13, C14, C15, C16, C17, C18, C19, CED, CEI, CHK, CLB, CLU, CM2, CMA, CMD, CMM, CMR, CST, DD1, DD2, DDE, DDG, DDH, DDI, DDJ, DDK, DDL, DDN, DDP, DDS, DDT, DDU, DFT, DKM, DMR, DMU, DOM, DPA, DSK, DTK, E01, ELD, EVG, FBB, FDN, FRF, G17, GK1, GK2, GN2, GN3, GNT, GRN, GS1, H09, HBG, HOP, HOU, ICE, IKO, INR, INV, ISD, ITP, J14, J22, J25, JMP, JVC, KHM, KLD, KLR, KTK, LCI, LEA, LEB, LRW, LTR, M10, M11, M12, M13, M14, M15, M19, M20, M21, MBS, ME1, ME3, MH2, MH3, MID, MIR, MKM, MMQ, MOM, MRD, NEO, NPH, ODY, OLEP, ONE, ONS, ORI, OTJ, P02, P23, PAL00, PAL01, PAL03, PAL04, PAL05, PAL06, PAL99, PALP, PANA, PARL, PC2, PCA, PD2, PELP, PF19, PF20, PGPX, PGRU, PIP, PL24, PLST, PMPS, PMPS06, PMPS07, PMPS08, PMPS09, PMPS10, PMPS11, POR, PPP1, PRM, PRW2, PRWK, PS11, PSAL, PSS2, PSS3, PSS4, PTC, PTK, PZ2, RAV, REX, RIX, RNA, ROE, RQS, RTR, S99, SCD, SHM, SIR, SLD, SNC, SOI, SOM, STX, SUM, TD0, TDM, THB, THS, TMP, TPR, TSP, UGL, UND, UNF, UNH, USG, UST, VOW, WAR, WC00, WC01, WC02, WC03, WC97, WC98, WC99, WHO, WOE, XANA, XLN, ZEN, ZNR",common
Forest,"10E, 2ED, 2XM, 30A, 3ED, 40K, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, ACR, AFR, AKH, AKR, ALA, ANA, ANB, ARC, ATH, AVR, BBD, BFZ, BLB, BRB, BRO, BTD, C13, C14, C15, C16, C17, C18, C19, CED, CEI, CHK, CLB, CLU, CM2, CMA, CMD, CMM, CMR, CST, DD1, DDD, DDE, DDG, DDH, DDJ, DDL, DDM, DDO, DDP, DDR, DDS, DDU, DFT, DKM, DMR, DMU, DOM, DPA, DSK, DTK, E01, ELD, EVG, FBB, FDN, FRF, G17, GK1, GK2, GN2, GN3, GNT, GRN, GS1, GVL, H09, HBG, HOP, HOU, ICE, IKO, INR, INV, ISD, ITP, J14, J22, J25, JMP, KHM, KLD, KLR, KTK, LCI, LEA, LEB, LRW, LTR, M10, M11, M12, M13, M14, M15, M19, M20, M21, MBS, ME1, ME3, MH2, MH3, MID, MIR, MKM, MMQ, MOM, MRD, NEO, NPH, ODY, OLEP, ONE, ONS, ORI, OTJ, P02, P23, PAL00, PAL01, PAL03, PAL04, PAL05, PAL06, PAL99, PALP, PANA, PARL, PC2, PCA, PELP, PF19, PF20, PGPX, PGRU, PIP, PL25, PLST, PMPS, PMPS06, PMPS07, PMPS08, PMPS09, PMPS10, PMPS11, POR, PPP1, PRM, PRW2, PRWK, PS11, PSAL, PSS2, PSS3, PSS4, PTC, PTK, PZ2, RAV, REX, RIX, RNA, ROE, RQS, RTR, S99, SCD, SHM, SIR, SLD, SNC, SOI, SOM, STX, SUM, TD0, TD2, TDM, THB, THS, TMP, TPR, TSP, UGL, UND, UNF, UNH, USG, UST, VOW, WAR, WC00, WC01, WC02, WC03, WC04, WC97, WC98, WC99, WHO, WOE, XANA, XLN, ZEN, ZNR",common
Disenchant,"2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, A25, ATH, BRB, BRO, CED, CEI, CMR, CN2, CST, F03, FBB, FDN, ICE, IMA, LEA, LEB, M20, ME2, ME3, MIR, MMQ, OLEP, P07, PARL, PLST, PMEI, PRM, PTC, SCD, SUM, TMP, TPR, TSB, USG, WC97, WC98, ZNR",common
Savannah Lions,"2ED, 30A, 3ED, 4BB, 4ED, 8ED, 9ED, A25, CED, CEI, DMR, FBB, FDN, J22, J25, LEA, LEB, ME4, PLST, SUM",rare
Ancestral Recall,"2ED, 30A, CED, CEI, LEA, LEB, OVNT, PRM, VMA, YDMU",rare
Time Walk,"2ED, 30A, CED, CEI, LEA, LEB, OVNT, PRM, VMA, YDMU",rare
Timetwister,"2ED, 30A, CED, CEI, LEA, LEB, OVNT, PRM, VMA, YDMU",rare
Raise Dead,"2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, ANB, CED, CEI, CN2, FBB, ITP, LEA, LEB, P02, PLST, POR, RQS, S99, SUM, W17",common
Dragon Whelp,"2ED, 30A, 3ED, 4BB, 4ED, ARC, CED, CEI, CMA, CMD, DDG, DMR, DMU, DRB, FBB, J25, LEA, LEB, M10, PLST, SUM, TSB",uncommon
Fire Elemental,"2ED, 30A, 3ED, 4BB, 4ED, 6ED, 7ED, CED, CEI, DOM, FBB, FDN, LEA, LEB, M13, M19, M20, PLST, S99, SUM",uncommon
Hurloon Minotaur,"2ED, 30A, 3ED, 4BB, 4ED, 5ED, ANB, CED, CEI, FBB, LEA, LEB, ME3, O90P, SUM",common
Lightning Bolt,"2ED, 2X2, 30A, 3ED, 4BB, 4ED, A25, ATH, BTD, CED, CEI, CLB, CLU, E01, FBB, GN3, HBG, J21, JGP, JMP, LEA, LEB, M10, M11, ME1, MM2, OLGC, P09, P10, PD2, PF19, PLST, PRM, PTC, SLD, SLP, STA, SUM, TD0",common
Shatter,"2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, CED, CEI, DKM, FBB, ICE, KTK, LEA, LEB, M10, MRD, PLST, PTC, RIX, SOM, SUM, TMP, TPR",common
Fog,"2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, ARC, BTD, CED, CEI, EMA, FBB, J21, LEA, LEB, M10, M11, M12, M13, M14, ME4, MIR, PIO, PLST, SUM",common
Black Lotus,"2ED, 30A, CED, CEI, LEA, LEB, O90P, OVNT, PRM, VMA, YDMU",rare
Mox Emerald,"2ED, 30A, CED, CEI, LEA, LEB, OVNT, PRM, VMA, YDMU",rare
Mox Jet,"2ED, 30A, CED, CEI, LEA, LEB, OVNT, PRM, VMA, YDMU",rare
Mox Pearl,"2ED, 30A, CED, CEI, LEA, LEB, OVNT, PRM, VMA, YDMU",rare
Mox Ruby,"2ED, 30A, CED, CEI, LEA, LEB, OVNT, PRM, VMA, YDMU",rare
Mox Sapphire,"2ED, 30A, CED, CEI, LEA, LEB, OVNT, PRM, VMA, YDMU",rare
Abzan Falconer,"2X2, C16, CM2, IMA, J21, KTK, MIC, MOC, PLST, ZNC",uncommon
Ainok Bond-Kin,"2X2, CMM, IMA, J21, KTK, MIC, PLST",common
Battlefield Promotion,"2X2, J25, JMP, WAR",common
Divine Visitation,"2X2, GRN, PGRN, RVR, TDC",mythic
Gods Willing,"2X2, A25, CLU, CN2, M20, PLST, STA, THS, UMA",common
Knightly Valor,"2X2, JMP, M19, ORI, PIO, PLST, RTR, WOT",common
Mentor of the Meek,"2X2, C14, C16, E01, FDN, INR, ISD, J25, JMP, LTC, M19, MOC, ONC, PIO, PLST, PM19, PRM, SCD, VOC",uncommon
Militia Bugler,"2X2, M19, PLST, PM19, PRM",common
Monastery Mentor,"2X2, FRF, J19, MOM, PLST, PMOM, TDC",mythic
Seeker of the Way,"2X2, CP3, IMA, KTK, PLST, PRM",common
Smothering Tithe,"2X2, CMM, P22, PRM, PRNA, RNA, SLD, WOT",rare
Wingsteed Rider,"2X2, J25, PIO, THS, UMA",common
Advanced Stitchwing,"2X2, EMN, GNT, SIR",common
As Foretold,"2X2, AKH, AKR, PAKH, WHO, WOT",mythic
Aven Initiate,"2X2, AKH, AKR",common
Capture Sphere,"2X2, GRN, IKO, J25, M21, PLST",common
Deep Analysis,"2X2, C13, C19, CMM, DDH, DMR, EMA, F07, J25, LTC, MH3, MKC, NCC, OTC, PLST, PRM, PZ1, SCD, TDC, TOR, VMA, WC02, WC03",common
Ingenious Skaab,"2X2, EMN, PIO, SIR",common
Jeskai Elder,"2X2, DDN, KTK, M21",common
Kasmina's Transmutation,"2X2, RVR, WAR",common
Pull from Tomorrow,"2X2, AKH, AKR, BLC, CLB, DRC, GN3, MOC, PAKH",rare
Spell Pierce,"2X2, DFT, MB2, MM3, MP2, NEO, PRM, SCH, SLD, SLP, XLN, ZEN",common
Disfigure,"2X2, A25, BRO, DDR, J25, M20, PM20, ZEN",common
Go for the Throat,"2X2, 40K, ACR, BRO, C17, F11, J25, LTC, MBS, MIC, MOC, PCBB, PLST, PRM",uncommon
"Liliana, the Last Hope","2X2, EMN, MED, PEMN, PLST, PRM, PS16, SIR",mythic
Liliana's Elite,"2X2, EMN, J22, JMP, SIR",common
Seekers' Squire,"2X2, XLN",common
Severed Strands,"2X2, GRN, J25, PLST",common
Skeleton Archer,"2X2, ANB, FDN, M19, M20, M21, PLST",common
Supernatural Stamina,"2X2, 2XM, A25, AKH, AKR, CMM, CMR, GN3, PIO, PLST",common
Vampire Sovereign,"2X2, M19",common
Vampiric Rites,"2X2, BFZ, FDN, J22, SCD, WOT",uncommon
"Yahenni, Undying Partisan","2X2, AER, CMM, KLR, LCC, PAER, PLST, TDC",rare
Anger of the Gods,"2X2, AKR, IMA, PLST, PRM, SLD, THS, TSR",rare
Bedlam Reveler,"2X2, EMN, INR, PEMN, SIR, TSR",rare
Dark-Dweller Oracle,"2X2, AFC, M19, PLST, PM19",common
Dreamshaper Shaman,"2X2, THB",uncommon
Goblin Banneret,"2X2, GRN",uncommon
Hero of the Games,"2X2, J25, THB",common
Labyrinth Champion,"2X2, PIO, THS",uncommon
Lava Coil,"2X2, GRN, PLST, PMEI",common
Monastery Swiftspear,"2X2, BRO, IMA, KTK, PIO, PLST, PRM, SCH, SLD, TSR",common
Pirate's Pillage,"2X2, RIX",common
Purphoros's Emissary,"2X2, PIO, THS",common
Storm Fleet Pyromancer,"2X2, J22, XLN",common
Annoyed Altisaur,"2X2, CMR, MH3",common
Biogenic Upgrade,"2X2, FDN, J25, MIC, PLST, RNA",uncommon
Elvish Rejuvenator,"2X2, GN3, J22, KHC, M19, M3C, OTC, PM19, PRM, ZNC",common
Experiment One,"2X2, C15, F13, GK2, GTC, PIO, PLST, PRM, RVR",common
Gnarlback Rhino,"2X2, FDN, M20, PIO",common
Grapple with the Past,"2X2, C18, DSC, EMN, INR, M3C, PLST, SIR, TDC",common
Hardened Scales,"2X2, 40K, C16, CM2, J21, KTK, LCC, PIP, PKTK, PRM, WOT",rare
Impervious Greatwurm,"2X2, GRN",rare
"Rishkar, Peema Renegade","2X2, AER, BLC, CMM, J25, JMP, KLR, MOC, NCC, NEC, PAER, SCD",rare
